cod_lab,cod_georef,cod_escuela,espacio,escuela_o_departamento,nombre_de_laboratorio,actividad,sede ,direccion,telefono,telefono_lab,telefono_responsable,email,email,identificacion,cargo,oficina,celular,email_univalle,codigo_pruebas_y_ensayos,grupo_de_investigacion,categoria,categoria_docente,equipo_robusto,ano_de_fundacion,m2,capacidad_estudiantes,capacidad_maxima_estudiantes,hora_semana,pce,resolución_de_creación,notas,personal 
1,x,x,x,"N/
A","N/
A","N/
A","N/
A","N/
A","N/
A","N/
A","N/
A",,"N/
A","N/
A","N/
A","N/
A","N/
A",laboratorios.sig@correounivalle.edu.co,"N/
A","N/
A","N/
A","N/
A","N/
A","N/
A","N/
A","N/
A","N/
A","N/
A","N/
A","N/
A","N/
A","N/
A"
2001,353,353,1021,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorios de Accionamientos y Electrónica de Potencia,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jorge.quintero@correounivalle.edu.co,"Asesoría en el control de motores eléctricos.
• Asesoría en la selección de motores eléctricos.
• Asesoría en la selección y programación de autómatas industriales.
• Diseño y fabricación de reguladores de tensión en máquinas sincrónicas.
• Capacitación en la electrónica de potencia, autómatas programables y control de motores eléctricos.
• Desarrollo de software de gestión para sistemas implementados con PLC’s.",,,,,,,,12,,8%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
2002,353,353,2023,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio de Automática,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,edison.franco@correounivalle.edu.co,"Pruebas de equipos de instrumentación 
• Pruebas de variadores de velocidad con equipo generador sintetizador
• Capacitación en controladores de procesos y sintonía 
• Capacitación en el control clásico con servomecanismos DC
• Análisis de procesos industriales  
• Estudion en sistemas de generacion de energia y mejoramiento de procesos con instrumentación electrónica
• Alquiler de salas de servomecanismos
• Servicio de laboratorio virtua
710165M -  LABORAT. SISTEMAS AUTOMÁTICOS DE CONTROL
710180M - LAB. FUND. DE CONTROL DE SIST. LINEALES
710152M - LAB. ANÁLISIS Y COMPENS. SIST. LINEALES",,,,,1991,,,15,,51%,149 del 27 de noviembre de 2012,Ganador de convocatoria 001,1 profesional
2003,353,353,1013,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio de Pequeñas Centrales Hidroeléctricas ,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,ramiro.ortiz@correounivalle.edu.co,"Las actividades en Ingeniería que realiza el laboratorio están direccionadas al uso óptimo del recurso hidroenergético, estas actividades fundamentalmente se desarrollan en los siguientes aspectos:
Evaluación del potencial hidroenergético.
Viabilidad de proyectos de PCH´s.
Pruebas de equipos para Micro CHE´s.
Optimización de CHE.",GRUPO DE INVESTIGACION EN SISTEMAS HIDROELECTRICOS DE GENERACION - SHG,D,,,,,,,,29%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
2004,353,353,1002,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio de Conversión de Energía -CONVERGÍA,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,"339-1780 
EXT 123",,,,,,,,jairo.palacios@correounivalle.edu.co,"El laboratorio de Conversión de Energía -CONVERGÍA- de la Escuela de Ingeniería Eléctrica y Electrónica de la Universidad del Valle imparte educación formal práctica de alto nivel de los procesos de conversión de diferentes tipos de energía, hace parte de la formación integral de los estudiantes de la EIEE, como primer acercamiento a la realidad de la conversión de energía
 710185M - Lab. De Maquinas Eléctricas Rotativas I
710187M - Lab. De Maquinas Eléctricas Rotativas II
Diagnostico de Máquinas
Manteniemiento de Máquinas de Inducción
Diagnostico y Mantenimiento",GRUPO DE INVESTIGACION EN CONVERSION DE ENERGIA - CONVERGIA,B,,,,,16,24,30,24%,040 del 8 de abril de 2014,,1 laboratorista
2005,356,356,,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio de Alta Tensión,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,ferley.castro@correounivalle.edu.co,"La actividad principal del Laboratorio, es la realización de ensayos a equipos eléctricos, contando en la actualidad con más de 80 ensayos incluidos en el alcance de la acreditación vigente. Entre los elementos que están en capacidad de probar se encuentran:
Transformadores de distribución
Transformadores de medida y protección.
Aceites
Aisladores
Cables
Cambiadores de derivación
Conectores aéreos
Cortacircuitos
Empalmes y otros
Equipos de seguridad
Pararrayos
Seccionadores
Arrancadores de alumbrado","GRUPO DE INVESTIGACION EN ALTA TENSION, GRALTA",A UNO,Investigador Senior (IS),,,,,,,100%,059 del 30 de abril de 2001,Laboratorio acreditado,
2006,353,353,2008-2014-2019,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,"Laboratorio de Electrónica (I, II, III, IV)",DOCENCIA ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,,"• Revisión y diagnóstico de equipos electrónicos
• Reparación de equipos electrónicos
• Verificación de sensores y equipos de instrumentación
• Diseño de circuitos impresos
• Diseño de equipos de medición
• Alquiler de los espacios del laboratorio de electrónica",,,,,,,,,,33%,149 del 27 de noviembre de 2012,,1 laboratorista
2007,x,x,x,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio de Metrología Eléctrica (Antes Patronamiento de Equipo Eléctrico),"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,ferley.castro@correounivalle.edu.co,"Su actividad principal se centra en la calibración y verificación de equipos que miden magnitudes eléctricas instantáneas, tales como:
• Amperímetros análogos y digitales (AC y DC)
• Voltímetro análogo y digitales (AC y DC)
• Pinzas amperimétricas y voltiamperimétricas vatímetros análogos y digitales (AC y DC)
• Medidores de ángulos de fase y factor de potencia
• Óhmetros análogos y digitales
• Frecuencímetros análogos y digitales
• Medidores de capacitancia
• Medidores de temperatura que utilicen termocuplas (E,J,K,S,B,C,N,R,T,U)
• Medidores de temperatura que utilicen RTD
• Medidores de resistencia de aislamiento
Además de las actividades de calibración y verificación, el laboratorio está en capacidad de brindar capacitación y accesoria en:
• Aseguramiento metrológico
• Conceptos básicos de metrología
• Procesos para la acreditación de laboratorios",,,,,,,,,,100%,046 del 19 de Noviembre de 1996            017 del 4 de abril de 2014,Laboratorio acreditado,
2008,355,355,2002,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio Redes de Comunicación,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,oscar.polanco@correounivalle.edu.co,"• Capacitación con switches, enrutadores y dispositivos de red• Capacitación en modelamiento y simulación de redes de computadores
710157M - Lab. De Comunicaciones II ",SISTEL-UV (GRUPO DE INVESTIGACION EN SISTEMAS DE TELECOMUNICACIONES),B,,,2002,,15,15,9,29%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
2009,353,353,1017,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio de Circuitos Eléctricos y Medidas e Instrumentación,DOCENCIA ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,diego.echeverry@correounivalle.edu.co,"Prácticas de las asignaturas Laboratorio de Circuitos Eléctricos I y II, y Laboratorio de Medidas Eléctrica. Entre ellas: 
Medición de parámetros eléctricos básicos
Mediciones de potencia y energía en circuitos monofásicos y trifásicos
Resistencia de puesta a tierra
Verificación de especificaciones de voltímetros digitales
Corrección de factor de potencia",,,,,,,,,,29%,149 del 27 de noviembre de 2012            124A del 24 de septiembre de 2013,,No tiene personal. Solo el profesor
