ESPACIO,Latitud,Longitud,OBJECTID,cod_georef,edif,escuela_departamento,nombre_lab,piso,sede
estacion 1,-76.53581234,3.371191325,1,382,382,Facultad de Artes Integradas - Departamento de Diseño,Laboratorio de In Media,4,
3018,-76.536319101,3.371590085,2,383,383,Facultad de Artes Integradas - Escuela de Comunicación Social,Laboratorio de audiovisuales y soporte técnico,3,
3016,-76.536259708,3.371602661,3,383,383,Facultad de Artes Integradas - Escuela de Comunicación Social,Sala 6 - Laboratorio de Video Digital,3,
3015,-76.536205535,3.37160285,4,383,383,Facultad de Artes Integradas - Escuela de Comunicación Social,Sala 5 - Laboratorio de Video Digital,3,
3014,-76.536205543,3.371578235,5,383,383,Facultad de Artes Integradas - Escuela de Comunicación Social,Sala 4 - Laboratorio de Video Digital,3,
3013,-76.536173523,3.371578185,6,383,383,Facultad de Artes Integradas - Escuela de Comunicación Social,Sala 3 -hiperlab - Laboratorio de Video Digital,3,
3012,-76.536173505,3.371602786,7,383,383,Facultad de Artes Integradas - Escuela de Comunicación Social,Sala 2 - auto edicion - Piso Informático (Salas de Cómputo),3,
3011,-76.536124693,3.371602726,8,383,383,Facultad de Artes Integradas - Escuela de Comunicación Social,Laboratorio de Autoedición,3,
3010,-76.536124731,3.371578125,9,383,383,Facultad de Artes Integradas - Escuela de Comunicación Social,Sala 1 - taller de radio - Piso Informático (Salas de Cómputo),3,
3004,-76.535968598,3.371638372,10,383,383,Facultad de Artes Integradas - Escuela de Comunicación Social,sala 1 - Laboratorio de postproducción en Audio Digital,3,
3005,-76.535968586,3.371671223,11,383,383,Facultad de Artes Integradas - Escuela de Comunicación Social,sala 2 - Laboratorio de Grabación en Auto Digital,3,
3017,-76.536259722,3.37157806,12,383,383,Facultad de Artes Integradas - Escuela de Comunicación Social,Sala 7 - Laboratorio de Video Digital,3,
2005,-76.53596855,3.371720992,13,383,383,Facultad de Artes Integradas - Escuela de Comunicación Social,Laboratorio de Fotografía,2,
2022,-76.535903163,3.372912408,14,387,387,Facultad de Ciencias Sociales y Económicas,Laboratorio de Estadística Social y Económica,2,
3016,-76.535712737,3.370969345,15,381,381,Laboratorio De Fisiología Del Deporte,Laboratorio De Fisiología Del Deporte,3,
2024,-76.535880415,3.370969484,16,381,381,Instituto de Educación y Pedagogía,Laboratorio de Recreación,2,
2008,-76.535572472,3.370969267,17,381,381,Instituto de Educación y Pedagogía,Laboratorio de Comunicación y Educación Popular,2,
1013,-76.535704017,3.370969786,18,381,381,Instituto de Educación y Pedagogía,Laboratorio De Acondicionamiento Físico,1,
1008,-76.535573094,3.370969713,19,381,381,Instituto de Educación y Pedagogía,Laboratorio de Matemáticas,1,
1006,-76.535940703,3.371266234,20,382,382,Facultad de Artes Integradas - Escuela de Arquitectura,Modelado y Simulación Bioclimática en Arquitectura y Urbanismo,1,
1006,-76.536058782,3.371266096,21,382,382,Facultad de Artes Integradas - Escuela de Arquitectura,FAI-FAB-LAB,1,
1008,-76.535198084,3.37115695,22,380,380,Escuela de Arquitectura,laboratorio de  Modelos Estructurales,1,
4,-76.53293303,3.376079602,23,332,332,Facultad de Artes Integradas - Dpto. Artes Escénicas,Auditorio 4,0,
4012,-76.536199429,3.372343159,24,385,385,Instituto de psicología,Laboratorio Virtual,4,
4047,-76.535542103,3.373169163,25,388,388,Instituto de psicología,Pruebas Psicologicas,4,
4017,-76.534992943,3.373382523,26,388,388,Instituto de psicología,Laboratorio de procesos básicos,4,
3005,-76.535076959,3.373191989,27,388,388,Instituto de Educación y Pedagogía,Laboratorio para la Enseñanza de las Ciencias Naturales,3,
2024,-76.535509683,3.37316914,28,388,388,Instituto de Educación y Pedagogía,Observatorio De Democracia Y Participación Ciudadana,2,
1004,-76.535161957,3.375834194,29,313,313,,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",1,
1003,-76.535258237,3.37583424,30,313,313,,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",1,
1002,-76.535355868,3.375834294,31,313,313,,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",1,
1001,-76.535412878,3.37583425,32,313,313,,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",1,
1010,-76.534992638,3.375994306,33,313,313,,Laboratorio de fotografía Análoga,1,
1009,-76.534902293,3.375947983,34,313,313,,Laboratorio de Imagen digital,1,
1008,-76.534900151,3.375866293,35,313,313,,Experimentación fotográfica,1,
1007,-76.534902104,3.375801619,36,313,313,,procesos en arte,1,
2025,-76.534740524,3.375843997,37,314,314,,Sala auxiliar de teatro (Laboratorio de actuación y montaje),2,
1018,-76.534737948,3.376157171,38,314,314,,"Laboratorio de actuación, montaje y cuerpo",1,
2018,-76.534737948,3.376157171,39,314,314,,"Laboratorio de actuación, montaje y cuerpo",2,
3018,-76.534737948,3.376157171,40,314,314,,Laboratorios de actuación y montaje,3,
2015,-76.534901894,3.376160125,41,314,314,,Laboratorio de voz,2,
4005,-76.535161987,3.375787171,42,313,313,,Taller de percusión,4,
4004,-76.535226038,3.375787168,43,313,313,,Taller de percusión,4,
4003,-76.535291163,3.375787245,44,313,313,,Taller de percusión,4,
4002,-76.535355894,3.375787271,45,313,313,,Salón de la BIG BAND,4,
3007,-76.53486998,3.375801468,46,313,313,,Taller de opera,3,
1002,-76.531767714,3.374831939,47,347,347,,Laboratorio de ceramicos y cementos,1,
1005,-76.53174188,3.374765883,48,347,347,,Laboratorio procesos ceramicos,1,
1003,-76.531920958,3.37445962,49,348,348,,Laboratorio de procesos metalicos,1,
0,-76.532120506,3.374178117,50,350,350,,Laboratorio de ingenieria sismica y dinamica estructural,1,
0,-76.531932761,3.374290145,51,350,350,,Laboratorio de ingenieria de suelos y pavimentos,1,
1003,-76.532431582,3.374414421,52,351,351,,Laboratorio de simulacion  avanzada,1,
1004,-76.531775142,3.374701095,53,347,347,,laboratorio de desarrollo de materiales  del grupo de materiales compuestos,1,
0,-76.532158162,3.374556957,54,349,349,,Laboratorio de recubrimientos duros y aplicaciones industriales,1,
0,-76.532212015,3.374688272,55,349,349,,Laboratorio microscopia de electronica de barrido,1,
1002,-76.53239354,3.374557282,56,357,357,,Laboratorios de INCAB-PROVIT Y docencia en estadistica,1,
1002,-76.532376963,3.374414561,57,351,351,,Laboratorio de ensayos dinamicos  y materiales fibroreforzados,1,
0,-76.532052869,3.374153046,58,350,350,,Laboratorio de estructuras,1,
0,-76.531922948,3.37415273,59,350,350,,Laboratorio marco de pruebas y homologaciones,1,
1007,-76.531867661,3.374150882,60,350,350,,laboratorio de biomecanica,1,
2003,-76.531962519,3.374859817,61,346,346,,Laboratorio de cartografia y de sistemas de informacion geografico,2,
2010,-76.531962916,3.37490052,62,346,346,,Laboratorio de Geoposicionamiento,2,
2016,-76.532094102,3.374925786,63,346,346,,laboratorio Gismodel,2,
2012,-76.531987446,3.37449228,64,348,348,,Laboratorio de metalografia,2,
2008,-76.531856792,3.374417557,65,348,348,,Laboratorio  de tribologia,2,
2005,-76.532383163,3.374421049,66,351,351,,Laboratorio de vibraciones y acustica,2,
2005,-76.531963068,3.374944787,67,346,346,,Laboratorio de sensores remotos,2,
2010,-76.53179214,3.374700802,68,347,347,,Laboratorio de transporte,2,
2011,-76.531727022,3.374701511,69,347,347,,Laboratorio de fotogrametria analoga,2,
2008,-76.531987726,3.374556636,70,348,348,,Laboratorio de polimeros,2,
2006,-76.532213793,3.374661557,71,349,349,,Laboratorio de control quimico y corrosion,2,
2012,-76.532077019,3.374688408,72,349,349,,Laboratorio de fluoresencia de rayos x,2,
2014,-76.53250521,3.377483228,73,335,335,,Laboratorio de biotecnologia ambiental,2,
2002,-76.53227098,3.377480226,74,334,334,,Laboratorio de operaciones unitarias de tecnologia e ingenieria de alimentos,2,
2002,-76.532743731,3.377351981,75,335,335,,Laboratorio de quimica ambiental,2,
0,-76.532193414,3.377619964,76,334,334,,Laboratorio de analisis instrumental,2,
2038,-76.532678906,3.37701255,77,336,336,,laboratorio de microbiologia,2,
2001,-76.532680044,3.377351953,78,335,335,,Laboratorio de bioprocesos,2,
2010,-76.532374543,3.376992078,79,336,336,,Laboratorio de docencia e investigacion,2,
0,-76.532697487,3.377513446,80,335,335,,Laboratorio de control contaminacion atmosferica,2,
0,-76.532323826,3.377416854,81,334,334,,Laboratorio de termodinamica aplicada y fluidos supercriticos,1,
1004,-76.532786826,3.377363179,82,335,335,,Laboratorio de quimica ambiental- anilisis quimico e instrumental,1,
1003,-76.53280254,3.377233535,83,335,335,,Laboratorio de procesos de tratamiento,1,
1000,-76.532047279,3.375202798,84,345,345,,Laboratorio de procesos de manofactura,1,
1000,-76.53215101,3.375287473,85,345,345,,Laboratorio de mecanica de materiales,1,
2004,-76.532215084,3.375145556,86,345,345,,Laboratorio de tribologia,2,
2001,-76.531891331,3.37514564,87,345,345,,Laboratorio de metrologia,2,
2002,-76.531891267,3.375292877,88,345,345,,Laboratorio de caracterizacion mecanica y microestructural de materiales,2,
1006,-76.532100403,3.376413553,89,340,340,,laboratorio de combustion combustible,1,
